,date,open,close,high,low,volume
0,2010-01-04, 
1,2010-01-05, 
2,2010-01-06, 
3,2010-01-07, 
4,2010-01-08, 
5,2010-01-11, 
6,2010-01-12, 
7,2010-01-13,
8,2010-01-14, 
9,2010-01-15, 
10,2010-01-18, 
11,2010-01-19, 
12,2010-01-20, 
13,2010-01-21, 
14,2010-01-22, 
15,2010-01-25, 
16,2010-01-26, 
17,2010-01-27, 
18,2010-01-28, 
19,2010-01-29, 
20,2010-02-01, 
21,2010-02-02, 
22,2010-02-04, 
23,2010-02-05, 
24,2015-02-06, 
25,2015-02-09, 
26,2015-02-10, 
27,2015-02-11, 
28,2015-02-12, 
29,2015-02-13, 
30,2015-02-16, 
31,2010-02-24,
32,2010-02-25,
33,2010-02-26, 
34,2010-03-01, 
35,2010-03-03, 
36,2010-03-04, 
37,2010-03-05, 
38,2010-03-08, 
39,2010-03-09, 
40,2010-03-10, 
41,2010-03-11, 
42,2010-03-12, 
43,2010-03-15, 
44,2010-03-16, 
45,2010-03-17, 
46,2010-03-18, 
47,2010-03-19, 
48,2010-03-22, 
49,2010-03-23, 
50,2010-03-24, 
51,2010-03-25, 
52,2010-03-26, 
53,2010-03-29, 
54,2010-03-30, 
55,2010-03-31,
56,2010-04-01, 
57,2010-04-02, 
58,2010-04-06, 
59,2010-04-07, 
60,2010-04-08, 
61,2010-04-09, 
62,2010-04-12,  
64,2010-04-14, 
63,2010-04-13,
65,2010-04-15, 
66,2010-04-16, 
67,2010-04-19, 
68,2010-04-20, 
69,2010-04-21, 
70,2010-04-22, 
261,2011-02-14,6.585,7.175,7.175,6.537,178425.0,002233
262,2011-02-15,7.329,7.395,7.698,7.329,251943.0,002233
263,2011-02-16,7.39,7.518,7.588,7.355,152864.0,002233
264,2011-02-17,7.505,7.5,7.588,7.333,114783.0,002233
265,2011-02-18,7.5,7.544,7.821,7.399,172406.0,002233
266,2011-02-21,7.487,7.549,7.632,7.412,96076.0,002233
267,2011-02-22,7.5,7.148,7.513,6.964,121509.0,002233
268,2011-02-23,7.122,7.109,7.179,6.994,43964.0,002233
269,2011-02-24,7.192,7.192,7.395,7.161,60166.0,002233
270,2011-02-25,7.214,7.465,7.474,7.008,105015.0,002233
271,2011-02-28,7.465,7.513,7.606,7.263,102527.0,002233
272,2011-03-01,7.478,7.76,7.817,7.425,137516.0,002233
273,2011-03-02,7.645,7.593,7.703,7.434,77234.0,002233
274,2011-03-03,7.566,7.848,8.019,7.522,165688.0,002233
275,2011-03-04,7.808,7.958,8.032,7.703,105738.0,002233
276,2011-03-07,8.041,7.896,8.354,7.865,164430.0,002233
277,2011-03-08,7.878,7.878,7.896,7.698,75811.0,002233
278,2011-03-09,7.87,7.782,7.971,7.716,66469.0,002233
279,2011-03-10,7.764,7.782,8.024,7.681,84320.0,002233
280,2011-03-11,7.742,7.632,7.848,7.615,58220.0,002233
281,2011-03-14,7.632,8.002,8.015,7.632,116874.0,002233
282,2011-03-15,7.984,8.072,8.12,7.513,130517.0,002233
283,2011-03-16,7.966,7.953,8.068,7.843,52348.0,002233
284,2011-03-17,7.909,7.751,7.953,7.729,39662.0,002233
285,2011-03-18,7.808,8.015,8.09,7.808,76770.0,002233
286,2011-03-21,7.966,8.028,8.248,7.918,76994.0,002233
287,2011-03-22,8.05,8.27,8.314,7.905,136491.0,002233
288,2011-03-23,8.182,8.494,8.6,8.138,179906.0,002233
289,2011-03-24, 
290,2011-03-25, 
291,2011-03-28, 
292,2011-03-29, 
293,2011-03-30, 
294,2011-03-31, 
295,2011-04-01, 
296,2011-04-06, 
297,2011-04-07,
298,2011-04-08, 
299,2011-04-11, 
300,2011-04-12, 
301,2011-04-13,
302,2011-04-14, 
303,2011-04-15, 
304,2011-04-18, 
305,2011-04-19, 
306,2011-04-20, 
307,2011-04-21, 
308,2011-04-22, 
309,2011-04-25, 
310,2011-04-26, 
311,2011-04-27, 
312,2011-04-28, 
313,2011-04-29, 
314,2011-05-03, 
315,2011-05-04, 
316,2011-05-05, 
317,2011-05-06, 
318,2011-05-09, 
319,2011-05-10, 
320,2011-05-11, 
321,2011-05-13, 
322,2011-05-16, 
323,2011-05-17, 
324,2011-05-18, 
325,2011-05-19, 
326,2011-05-20, 
327,2011-05-23, 
328,2011-05-24, 
329,2011-05-25, 
330,2011-05-26, 
331,2011-05-27,
332,2011-05-30, 
333,2011-05-31, 
334,2011-06-01, 
335,2011-06-02, 
336,2011-06-03, 
337,2011-06-07, 
338,2011-06-08, 
339,2011-06-09, 
340,2011-06-10, 
341,2011-06-13, 
342,2011-06-14, 
343,2011-06-15, 
344,2011-06-16, 
345,2011-06-17, 
346,2011-06-20, 
347,2011-06-21, 
348,2011-06-22, 
349,2011-06-23, 
350,2011-06-24, 
351,2011-06-27, 
352,2011-06-28, 
353,2011-06-29, 
354,2011-06-30, 
355,2011-07-01, 
356,2011-07-04, 
357,2011-07-05, 
358,2011-07-06, 
359,2011-07-07, 
360,2011-07-08,11.706,11.98,11.998,11.591,452465.0,002233
361,2011-07-11,11.971,12.201,12.616,11.954,734969.0,002233
362,2011-07-12,12.086,12.546,12.793,11.848,688940.0,002233
363,2011-07-13,12.493,13.252,13.252,12.413,576382.0,002233
364,2011-07-14,13.297,14.569,14.578,13.129,860749.0,002233
365,2011-07-15,14.578,14.516,15.797,14.295,966099.0,002233
366,2011-07-18,14.242,14.489,14.931,13.977,671168.0,002233
367,2011-07-19,14.251,13.756,14.392,13.694,499855.0,002233
368,2011-07-20,13.853,13.88,14.109,13.703,375226.0,002233
369,2011-07-21,13.88,14.048,14.092,13.615,381348.0,002233
370,2011-07-22,14.03,14.719,14.896,13.783,668964.0,002233
371,2011-07-25,14.56,13.694,14.825,13.27,580641.0,002233
372,2011-07-26,13.456,13.438,13.765,13.085,343701.0,002233
373,2011-07-27,13.297,13.482,13.694,13.217,330111.0,002233
374,2011-07-28,13.261,12.625,13.261,12.448,505399.0,002233
375,2011-07-29,12.572,12.554,12.775,12.475,257431.0,002233
376,2011-08-01,12.625,12.687,12.837,12.413,239195.0,002233
377,2011-08-02,12.59,13.005,13.067,12.44,357317.0,002233
378,2011-08-03,12.811,13.35,13.35,12.758,389760.0,002233
379,2011-08-04,13.385,13.703,14.109,13.252,502920.0,002233
380,2011-08-05,13.252,13.367,13.986,12.811,372125.0,002233
